pair_subj,pair_emo,subj_i,subj_j,emotion1,emotion2,matched,same_culture,rho
"('P0', 'P12')","('neutral', 'neutral')",P0,P12,neutral,neutral,True,True,-0.14967932796802247
"('P0', 'P12')","('neutral', 'fear')",P0,P12,neutral,fear,False,True,-0.09778546343330251
"('P0', 'P12')","('neutral', 'anger')",P0,P12,neutral,anger,False,True,0.010403783804581127
"('P0', 'P12')","('neutral', 'disgust')",P0,P12,neutral,disgust,False,True,0.0028951947224904228
"('P0', 'P12')","('neutral', 'sadness')",P0,P12,neutral,sadness,False,True,-0.19981339579332189
"('P0', 'P12')","('neutral', 'happiness')",P0,P12,neutral,happiness,False,True,0.018311492637227443
"('P0', 'P12')","('neutral', 'surprise')",P0,P12,neutral,surprise,False,True,0.10391892265037211
"('P0', 'P12')","('fear', 'neutral')",P0,P12,fear,neutral,False,True,-0.27809401716467197
"('P0', 'P12')","('fear', 'fear')",P0,P12,fear,fear,True,True,0.30243379303989437
"('P0', 'P12')","('fear', 'anger')",P0,P12,fear,anger,False,True,-0.14556512231300545
"('P0', 'P12')","('fear', 'disgust')",P0,P12,fear,disgust,False,True,0.2454424321099624
"('P0', 'P12')","('fear', 'sadness')",P0,P12,fear,sadness,False,True,-0.2728217043530147
"('P0', 'P12')","('fear', 'happiness')",P0,P12,fear,happiness,False,True,-0.0037601826014411898
"('P0', 'P12')","('fear', 'surprise')",P0,P12,fear,surprise,False,True,0.48688456885839143
"('P0', 'P12')","('anger', 'neutral')",P0,P12,anger,neutral,False,True,-0.27423566458918736
"('P0', 'P12')","('anger', 'fear')",P0,P12,anger,fear,False,True,0.19014452412522542
"('P0', 'P12')","('anger', 'anger')",P0,P12,anger,anger,True,True,0.3922393913190748
"('P0', 'P12')","('anger', 'disgust')",P0,P12,anger,disgust,False,True,0.25137373477249636
"('P0', 'P12')","('anger', 'sadness')",P0,P12,anger,sadness,False,True,-0.5383265833377571
"('P0', 'P12')","('anger', 'happiness')",P0,P12,anger,happiness,False,True,-0.27922386692075474
"('P0', 'P12')","('anger', 'surprise')",P0,P12,anger,surprise,False,True,0.37607070351599936
"('P0', 'P12')","('disgust', 'neutral')",P0,P12,disgust,neutral,False,True,-0.2558363936525901
"('P0', 'P12')","('disgust', 'fear')",P0,P12,disgust,fear,False,True,0.046091353318620965
"('P0', 'P12')","('disgust', 'anger')",P0,P12,disgust,anger,False,True,-0.2754253820328359
"('P0', 'P12')","('disgust', 'disgust')",P0,P12,disgust,disgust,True,True,0.10185298913495752
"('P0', 'P12')","('disgust', 'sadness')",P0,P12,disgust,sadness,False,True,-0.21169692989267289
"('P0', 'P12')","('disgust', 'happiness')",P0,P12,disgust,happiness,False,True,-0.04988394494132669
"('P0', 'P12')","('disgust', 'surprise')",P0,P12,disgust,surprise,False,True,0.3082701221773325
"('P0', 'P12')","('sadness', 'neutral')",P0,P12,sadness,neutral,False,True,-0.24692892789218776
"('P0', 'P12')","('sadness', 'fear')",P0,P12,sadness,fear,False,True,0.036823774222887455
"('P0', 'P12')","('sadness', 'anger')",P0,P12,sadness,anger,False,True,-0.29018119746001775
"('P0', 'P12')","('sadness', 'disgust')",P0,P12,sadness,disgust,False,True,0.16897816781942454
"('P0', 'P12')","('sadness', 'sadness')",P0,P12,sadness,sadness,True,True,-0.21590409709352076
"('P0', 'P12')","('sadness', 'happiness')",P0,P12,sadness,happiness,False,True,-0.01160780108772108
"('P0', 'P12')","('sadness', 'surprise')",P0,P12,sadness,surprise,False,True,0.3112523554449709
"('P0', 'P12')","('happiness', 'neutral')",P0,P12,happiness,neutral,False,True,-0.30955461378712423
