pair_subj,pair_emo,subj_i,subj_j,emotion1,emotion2,matched,same_culture,rho
"('P0', 'P11')","('anger', 'sadness')",P0,P11,anger,sadness,False,True,0.3184185048834482
"('P0', 'P11')","('anger', 'happiness')",P0,P11,anger,happiness,False,True,0.5789586435697213
"('P0', 'P11')","('anger', 'surprise')",P0,P11,anger,surprise,False,True,0.5637481128387504
"('P0', 'P11')","('disgust', 'neutral')",P0,P11,disgust,neutral,False,True,-0.0529510972125244
"('P0', 'P11')","('disgust', 'fear')",P0,P11,disgust,fear,False,True,0.1272049719983791
"('P0', 'P11')","('disgust', 'anger')",P0,P11,disgust,anger,False,True,0.0750040666986939
"('P0', 'P11')","('disgust', 'disgust')",P0,P11,disgust,disgust,True,True,0.4488956824389007
"('P0', 'P11')","('disgust', 'sadness')",P0,P11,disgust,sadness,False,True,0.2769033154623688
"('P0', 'P11')","('disgust', 'happiness')",P0,P11,disgust,happiness,False,True,0.1120108594055321
"('P0', 'P11')","('disgust', 'surprise')",P0,P11,disgust,surprise,False,True,0.127273024020108
"('P0', 'P11')","('sadness', 'neutral')",P0,P11,sadness,neutral,False,True,-0.0977563055947755
"('P0', 'P11')","('sadness', 'fear')",P0,P11,sadness,fear,False,True,0.0882434085453575
"('P0', 'P11')","('sadness', 'anger')",P0,P11,sadness,anger,False,True,0.1347765355287754
"('P0', 'P11')","('sadness', 'disgust')",P0,P11,sadness,disgust,False,True,0.4244135803878819
"('P0', 'P11')","('sadness', 'sadness')",P0,P11,sadness,sadness,True,True,0.2936999449237388
"('P0', 'P11')","('sadness', 'happiness')",P0,P11,sadness,happiness,False,True,0.1516298299178615
"('P0', 'P11')","('sadness', 'surprise')",P0,P11,sadness,surprise,False,True,0.1674890254515217
"('P0', 'P11')","('happiness', 'neutral')",P0,P11,happiness,neutral,False,True,-0.1888870955755814
"('P0', 'P11')","('happiness', 'fear')",P0,P11,happiness,fear,False,True,0.2365952670100784
"('P0', 'P11')","('happiness', 'anger')",P0,P11,happiness,anger,False,True,0.1664234615887481
"('P0', 'P11')","('happiness', 'disgust')",P0,P11,happiness,disgust,False,True,0.4538624494461265
"('P0', 'P11')","('happiness', 'sadness')",P0,P11,happiness,sadness,False,True,0.4312999347645427
"('P0', 'P11')","('happiness', 'happiness')",P0,P11,happiness,happiness,True,True,0.3151391195477031
"('P0', 'P11')","('happiness', 'surprise')",P0,P11,happiness,surprise,False,True,0.1567678866945314
"('P0', 'P11')","('surprise', 'neutral')",P0,P11,surprise,neutral,False,True,-0.0648678997761903
"('P0', 'P11')","('surprise', 'fear')",P0,P11,surprise,fear,False,True,0.136455481083294
"('P0', 'P11')","('surprise', 'anger')",P0,P11,surprise,anger,False,True,0.0133387093784003
"('P0', 'P11')","('surprise', 'disgust')",P0,P11,surprise,disgust,False,True,0.1837393337282532
"('P0', 'P11')","('surprise', 'sadness')",P0,P11,surprise,sadness,False,True,0.1946981975099037
"('P0', 'P11')","('surprise', 'happiness')",P0,P11,surprise,happiness,False,True,0.1026380698058825
"('P0', 'P11')","('surprise', 'surprise')",P0,P11,surprise,surprise,True,True,-0.1181668381794422
"('P0', 'P12')","('neutral', 'neutral')",P0,P12,neutral,neutral,True,True,-0.1468715265896988
"('P0', 'P12')","('neutral', 'fear')",P0,P12,neutral,fear,False,True,-0.0962505811863659
"('P0', 'P12')","('neutral', 'anger')",P0,P12,neutral,anger,False,True,0.0087475281281248
"('P0', 'P12')","('neutral', 'disgust')",P0,P12,neutral,disgust,False,True,0.0095292518474964
"('P0', 'P12')","('neutral', 'sadness')",P0,P12,neutral,sadness,False,True,-0.2024554498913656
"('P0', 'P12')","('neutral', 'happiness')",P0,P12,neutral,happiness,False,True,0.0227195997431411
"('P0', 'P12')","('neutral', 'surprise')",P0,P12,neutral,surprise,False,True,0.1068294338540298
"('P0', 'P12')","('fear', 'neutral')",P0,P12,fear,neutral,False,True,-0.2870488043812913
"('P0', 'P12')","('fear', 'fear')",P0,P12,fear,fear,True,True,0.3035824269662366
"('P0', 'P12')","('fear', 'anger')",P0,P12,fear,anger,False,True,-0.1487278096927866
"('P0', 'P12')","('fear', 'disgust')",P0,P12,fear,disgust,False,True,0.2454125241981603
"('P0', 'P12')","('fear', 'sadness')",P0,P12,fear,sadness,False,True,-0.2755399600599467
"('P0', 'P12')","('fear', 'happiness')",P0,P12,fear,happiness,False,True,-0.0036985642249043
"('P0', 'P12')","('fear', 'surprise')",P0,P12,fear,surprise,False,True,0.4888966776183437
"('P0', 'P12')","('anger', 'neutral')",P0,P12,anger,neutral,False,True,-0.2727918992074142
"('P0', 'P12')","('anger', 'fear')",P0,P12,anger,fear,False,True,0.1875536331769106
"('P0', 'P12')","('anger', 'anger')",P0,P12,anger,anger,True,True,0.386718862138324
"('P0', 'P12')","('anger', 'disgust')",P0,P12,anger,disgust,False,True,0.2514894316186442
"('P0', 'P12')","('anger', 'sadness')",P0,P12,anger,sadness,False,True,-0.5377530617974453
"('P0', 'P12')","('anger', 'happiness')",P0,P12,anger,happiness,False,True,-0.2750260811663009
"('P0', 'P12')","('anger', 'surprise')",P0,P12,anger,surprise,False,True,0.377191892919306
"('P0', 'P12')","('disgust', 'neutral')",P0,P12,disgust,neutral,False,True,-0.2563419036264098
"('P0', 'P12')","('disgust', 'fear')",P0,P12,disgust,fear,False,True,0.044548127344947
"('P0', 'P12')","('disgust', 'anger')",P0,P12,disgust,anger,False,True,-0.274966209824271
"('P0', 'P12')","('disgust', 'disgust')",P0,P12,disgust,disgust,True,True,0.0983615251309912
"('P0', 'P12')","('disgust', 'sadness')",P0,P12,disgust,sadness,False,True,-0.2115853218246344
"('P0', 'P12')","('disgust', 'happiness')",P0,P12,disgust,happiness,False,True,-0.047393673866455
"('P0', 'P12')","('disgust', 'surprise')",P0,P12,disgust,surprise,False,True,0.3012116405424513
"('P0', 'P12')","('sadness', 'neutral')",P0,P12,sadness,neutral,False,True,-0.2503709706006348
"('P0', 'P12')","('sadness', 'fear')",P0,P12,sadness,fear,False,True,0.0386925200354768
