StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,E_consent_yes,device_eligibility,age,gender,gender_3_TEXT,LEAPQ_edu_level,LEAPQ_edu_level_9_TEXT,language_Kor,Korean_heritage,LEAPQ_other_immigr,LEAPQ_dominance_1,LEAPQ_dominance_2,LEAPQ_dominance_3,LEAPQ_dominance_4,LEAPQ_dominance_5,LEAPQ_acquisition_1,LEAPQ_acquisition_2,LEAPQ_acquisition_3,LEAPQ_acquisition_4,LEAPQ_acquisition_5,Kor_AoA_1,Kor_AoA_2,Kor_AoA_3,Kor_AoA_4,Kor_langenv_1,Kor_langenv_2,Kor_langenv_3,Kor_profspk,Kor_profcomp,Kor_profrd,Kor_learnenv_1,Kor_learnenv_2,Kor_learnenv_3,Kor_learnenv_4,Kor_learnenv_5,Kor_learnenv_6,Kor_expenv_1,Kor_expenv_2,Kor_expenv_3,Kor_expenv_4,Kor_expenv_5,Kor_expenv_6,KorEng_dominance_1,KorEng_dominance_4,KorEng_dominance_5,Eng_AoA_1,Eng_AoA_2,Eng_AoA_3,Eng_AoA_4,Eng_langenv_1,Eng_langenv_2,Eng_langenv_3,Eng_langenv_4,Eng_profspk,Eng_profcomp,Eng_profrd,Eng_learnev_1,Eng_learnev_2,Eng_learnev_3,Eng_learnev_4,Eng_learnev_5,Eng_learnev_6,Eng_learnev_7,Eng_expenv_1,Eng_expenv_2,Eng_expenv_3,Eng_expenv_4,Eng_expenv_5,Eng_expenv_6,userID,DeviceIdentifier,AoA_lang1,AoA_lang2,AoA_lang3,AoA_lang4,AoA_lang5
11/23/2025 4:04,11/23/2025 4:07,0,100,188,1,11/23/2025 4:07,R_7wKnLpTWHYOIQ74,,,,,38.6159,-122.8616,anonymous,EN,1,1,62,1,,5,,2,2,,English,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,2,62 years,62 years,44 years,7 years,11,11,11,9,10,9,7,7,3,4,10,10,10,2,10,1,P8,,English,,,,
11/17/2025 15:23,11/17/2025 15:26,0,72,138,0,11/24/2025 15:26,R_7t9Lb5J6Y0VchBD,,,,,41.0484,-74.0393,anonymous,EN,1,,57,2,,8,,2,2,No,English,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,,
11/24/2025 15:22,11/24/2025 15:26,0,100,270,1,11/24/2025 15:26,R_1fXwT34tRpSFgeR,,,,,43.0461,-81.2436,anonymous,EN,1,1,33,2,,5,,1,1,"Canada, 2003",Korean ,English ,,,,Korean ,English ,,,,0,5,6,7,9,9,9,11,11,11,4,9,4,0,0,0,4,9,5,2,7,8,48,50,51,10,12,10,12,20,20,20,7,11,11,11,8,0,7,0,7,7,8,8,0,7,1,7,8,P10,,Korean ,English ,,,
11/24/2025 15:38,11/24/2025 15:51,0,100,750,1,11/24/2025 15:51,R_4FgivjPYVkfVmO9,,,,,37.3347,127.0717,anonymous,EN,1,1,56,1,,7,,1,1,,KOREAN,ENGLISH,,,,KOREAN,ENGLISH,,,,2,5,8,10,55YEARS,55YEARS,18YEARS,11,11,11,8,8,7,2,5,4,9,10,5,0,8,5,80,90,70,14,18,14,20,1 YEAR,1 YEAR,1 YEAR,7 years,9,9,9,7,1,7,9,7,6,9,2,1,7,8,9,5,P22,,KOREAN,ENGLISH,,,
11/24/2025 16:01,11/24/2025 16:10,0,100,489,1,11/24/2025 16:10,R_9McRrgESW8VB9Lz,,,,,36.6378,127.4838,anonymous,EN,1,1,44,2,,6,,1,1,,Korean,English,French,Japanese,Chinese,Korean,English,Japanese,Chinese ,French,3,10,8,10,44,44,38,11,11,11,7,7,9,2,4,4,10,10,10,2,7,6,70,70,65,10,25,17,25,0,15 years,0,7 years,9,9,10,7,7,9,7,7,6,7,1,10,7,3,5,3,P30,,Korean,English,Japanese,Chinese ,French
11/24/2025 16:25,11/24/2025 16:29,0,100,248,1,11/24/2025 16:29,R_9ARTOG4tHTOKFKh,,,,,37.5699,126.853,anonymous,EN,1,1,33,1,,5,,1,2,,Korean,English,,,,Korean,English,,,,0,2,3,18,27,27,27,11,11,11,9,10,8,4,8,5,10,10,8,0,7,6,70,60,80,10,15,16,16,6,6,6,7,9,9,9,10,1,8,4,7,6,8,4,0,7,0,4,3,P21,,Korean,English,,,
11/17/2025 16:46,11/17/2025 16:49,0,72,164,0,11/24/2025 16:49,R_6mcl6rZtL4hItvH,,,,,41.5852,-87.8059,anonymous,EN,1,,43,1,,2,,2,2,,English,Spanish,,,,English,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,Spanish,,,
11/24/2025 16:57,11/24/2025 17:04,0,100,450,1,11/24/2025 17:04,R_4bAN1XcgHdHrKoh,,,,,37.377,127.1091,anonymous,EN,1,1,30,2,,9,Bachelor's degree,1,1,,Korean,English,Japanese,Spanish,French,Korean,English,Japanese,Spanish,French,0,5,3,10,28,30,20,11,11,11,10,10,10,1,8,6,10,10,10,10,10,10,100,89,60,3,15,5,15,2 years,2 years,15 years,7 years,9,9,10,4,1,10,1,7,6,4,1,1,10,1,8,7,P34,,Korean,English,Japanese,Spanish,French
11/17/2025 16:59,11/17/2025 17:10,0,72,637,0,11/24/2025 17:10,R_52RMpc6OqHYLuQm,,,,,25.9843,-80.2149,anonymous,EN,1,,48,2,,5,,2,2,,english,,,,,english,,,,english,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,english,,,,english
11/24/2025 17:06,11/24/2025 17:12,0,100,383,1,11/24/2025 17:12,R_4UzwOaszDiaadJD,,,,,37.5521,126.9505,anonymous,EN,1,1,33,2,,5,,1,1,"Japan(1992~1994), China(1996~2000), rest in South Korea",Korean,English,Chinese,French,Japanese,Korean,Engllish,Chinese,French,Japanese,1,5,7,9,27 years,33 years,27 years,11,11,11,9,10,9,1,8,8,9,10,10,0,8,8,97,90,61,4,19,6,19,2 months,0,4 years,7 years,8,10,10,2,0,9,8,7,9,9,0,0,10,1,9,9,P4,,Korean,Engllish,Chinese,French,Japanese
11/17/2025 17:12,11/17/2025 17:13,0,34,60,0,11/24/2025 17:13,R_1DqF3AytddwpWvD,,,,,40.726,-73.848,anonymous,EN,1,,60,2,,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/2025 17:30,11/17/2025 17:34,0,34,245,0,11/24/2025 17:34,R_3QRlbCxWqSbdr9u,,,,,37.8117,-80.4434,anonymous,EN,1,,29,2,,6,,2,2,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/2025 17:50,11/17/2025 17:56,0,41,397,0,11/24/2025 17:56,R_5pe3VHwbbvR4X8B,,,,,34.1394,-118.266,anonymous,EN,1,,40,2,,5,,1,1,,English,Korean,Spanish,,,English,Korean,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,Korean,Spanish,,
11/24/2025 18:19,11/24/2025 18:26,0,100,427,1,11/24/2025 18:26,R_4pToPV8AjPhurzH,,,,,37.5415,127.0252,anonymous,EN,1,1,29,1,,5,,1,1,U.S.A / May 2006,Korean,English,Spanish,,,Korean,English,Spanish,,,1,5,4,6,23,29,23,11,11,11,10,10,10,2,3,1,10,5,1,0,4,1,60,60,75,11,12,11,12,6,0,6,7 years,10,11,10,10,0,7,1,7,3,4,1,0,2,0,2,5,P5,,Korean,English,Spanish,,
11/24/2025 20:15,11/24/2025 20:24,0,100,572,1,11/24/2025 20:24,R_4IGKmV0CQG9yBl7,,,,,37.5658,126.978,anonymous,EN,1,1,44,2,,7,,1,1,,Korean,,,,,English,,,,,0,9,7,8,44,44,44,10,10,11,8,6,9,6,7,7,8,6,9,6,8,8,90,70,70,12,33,14,19,10 years,0,25 years,7 years,8,9,9,7,0,8,8,7,7,8,8,0,8,8,8,8,P26,,English,,,,
11/24/2025 20:19,11/24/2025 20:27,0,100,451,1,11/24/2025 20:27,R_9Y9XBhR7obKnV2w,,,,,37.5656,126.978,anonymous,EN,1,1,49,2,,5,,1,1,,Korean,English,Japanese,Chinese,French,Korean ,English,French,Japnese,Chinese,0,2,3,5,37 years,49 years,10,11,11,11,9,10,9,0,9,9,8,9,8,0,7,7,91,91,82,12,16,13,15,8,0,8,7 years,10,11,11,9,0,9,0,7,7,8,4,3,8,0,9,7,P23,,Korean ,English,French,Japnese,Chinese
11/24/2025 20:29,11/24/2025 20:40,0,100,681,1,11/24/2025 20:40,R_1bjUT8evIJXebOF,,,,,49.324,-123.0827,anonymous,EN,1,1,48,1,,5,,1,1,"Canada and Feb 1, 2023",Korean,English,Japanese,,,Korean,Japanese,English,,,1,5,5,5,45,48,39,11,11,11,10,10,10,0,8,5,10,10,10,0,8,5,95,80,70,10,45,10,22,4 years,1 years,1 year,7 years,5,10,10,5,0,10,10,7,8,8,5,0,10,8,8,8,P35,,Korean,Japanese,English,,
11/24/2025 20:51,11/24/2025 21:02,0,100,649,1,11/24/2025 21:02,R_94AblOrW99kEHtn,,,,,37.5656,126.978,anonymous,EN,1,1,30,2,,5,,1,1,I have always lived in Korea.,Korean,English,French,Japanese,Bulgarian,Korean,English,Japanese,Chinese,German,0,5,3,5,30,30,18,11,11,11,8,7,10,1,10,10,10,10,9,1,10,10,65,78,65,5,14,8,24,2 months,0,6 months,7 years,9,10,10,6,0,9,4,7,9,10,5,0,8,5,9,9,P31,,Korean,English,Japanese,Chinese,German
